SiteNumber,Upscaling Factor,Control Metric (m),Time (s),Nb Simu Per Hour
1,1,0,34367,0.104751651293392
1,2,0.0038793230649175,18464,0.194974003466205
1,7,0.0162088957219168,8508,0.423131170662906
1,15,0.0259828282694254,4975,0.723618090452261
1,21,0.0319767968742023,4560,0.789473684210526
1,30,0.0425305241829691,4571,0.787573835047036
1,45,0.0589360085450578,3805,0.946123521681997
1,50,0.0641227286941075,3630,0.991735537190083
1,60,0.0759114644001612,3501,1.02827763496144
1,75,0.0850912692667235,3278,1.09823062843197
1,90,0.105401014655867,3263,1.10327919092859
1,100,0.108060482107157,2959,1.21662723893207
1,125,0.133447137676186,2864,1.25698324022346
1,150,0.153184398721775,2604,1.38248847926267
1,182,0.193913249256011,2077,1.73326913818007
1,200,0.182114917235483,2221,1.62089149031968
1,250,0.225914166534647,1902,1.89274447949527
1,300,0.24142594995188,1564,2.30179028132992
1,330,0.231431688154032,1448,2.48618784530387
1,365,0.236479865355287,1282,2.80811232449298
1,550,0.290056430477904,989,3.64004044489383
1,640,0.285054150593602,741,4.8582995951417
1,730,0.306629460366902,721,4.99306518723994
1,1000,0.301470111825611,759,4.74308300395257
1,1500,0.340687027370893,487,7.39219712525667
1,2000,0.372102121592699,428,8.41121495327103
1,2250,0.371874096211351,332,10.8433734939759
1,3000,0.410637880921513,214,16.8224299065421
1,3182,0.419091584755241,214,16.8224299065421
1,3652,0.413500655195188,214,16.8224299065421
3,1,0,29595,0.121642169285352
3,2,0.0037050268572391,17685,0.203562340966921
3,7,0.015395923499432,8354,0.430931290399809
3,15,0.0247068749615544,4776,0.753768844221106
3,21,0.0298742911367728,4186,0.86000955566173
3,30,0.0404493979934081,4271,0.842893935846406
3,45,0.0572461092776707,3137,1.14759324195091
3,50,0.0631284603041809,3052,1.17955439056356
3,60,0.074938125136267,2960,1.21621621621622
3,75,0.0829605078650181,2596,1.38674884437596
3,90,0.102757101234263,2890,1.24567474048443
3,100,0.104750445181772,2319,1.55239327296248
3,125,0.129061898507305,2182,1.64986251145738
3,150,0.143212282321829,1969,1.82833925850686
3,182,0.187499853250413,1535,2.34527687296417
3,200,0.169479397499492,1608,2.23880597014925
3,250,0.214449068579327,1276,2.82131661442006
3,300,0.227760051321602,1035,3.47826086956522
3,330,0.216572903047783,913,3.94304490690033
3,365,0.218459278854892,1043,3.45158197507191
3,550,0.255988671136529,639,5.63380281690141
3,640,0.255595994638107,513,7.01754385964912
3,730,0.27064657214324,579,6.21761658031088
3,1000,0.269332117088135,451,7.98226164079823
3,1500,0.299027706396551,302,11.9205298013245
3,2000,0.31396700654494,251,14.3426294820717
3,2250,0.322394384458007,175,20.5714285714286
3,3000,0.350737335210097,123,29.2682926829268
3,3182,0.346988027325662,133,27.0676691729323
3,3652,0.340482492988365,152,23.6842105263158
4,1,0,3870,0.930232558139535
4,2,0.0029038378128997,2166,1.66204986149584
4,7,0.0135430090036463,880,4.09090909090909
4,15,0.0176096892067354,506,7.11462450592885
4,21,0.0241526308023985,444,8.10810810810811
4,30,0.0343745209691433,438,8.21917808219178
4,45,0.0552578951093874,336,10.7142857142857
4,50,0.0633693474709858,268,13.4328358208955
4,60,0.0777451642775314,314,11.4649681528662
4,75,0.0982052033382978,271,13.2841328413284
4,90,0.128329070963508,300,12
4,100,0.111407588609851,236,15.2542372881356
4,125,0.163197903996308,213,16.9014084507042
4,150,0.21158503798602,190,18.9473684210526
4,182,0.263262353063102,143,25.1748251748252
4,200,0.263526272143186,148,24.3243243243243
4,250,0.338774116168069,112,32.1428571428571
4,300,0.349533723651592,87,41.3793103448276
4,330,0.340966000007539,74,48.6486486486486
4,365,0.384363190201427,85,42.3529411764706
4,550,0.583678337570047,56,64.2857142857143
4,640,0.483693769577769,41,87.8048780487805
4,730,0.57943917722273,47,76.5957446808511
4,1000,0.554869772692194,36,100
4,1500,0.675781177947035,26,138.461538461538
4,2000,0.786215883510885,23,156.521739130435
4,2250,0.677887604480552,19,189.473684210526
4,3000,0.761639493031765,15,240
4,3182,0.800124260946511,15,240
4,3652,0.784027044277768,16,225
7,1,0,12808,0.28107432854466
7,2,0.0030580677191298,7104,0.506756756756757
