Numéro;SITE;ZONE;TYPE_PORT;ORGANISME;REFERENCE;LATITUDE;LONGITUDE;ET;DATE_CH;PHMA;PMVE;PMME;NM;BMME;BMVE;PBMA;DATE_RF;RF_ZH;RF_ref;ZH_Ref;ZH_Elli;NM_IGN
1;Lézardrieux;Abords_de_Saint-Malo;S;IGN;IGN69;48.78333333;-3.1;5.72;2007;1159;1055;815;590;380;130;4;21;18.22;12.751;-5.469;;0.431
2;Les_Héaux-de-Bréhat;Abords_de_Saint-Malo;S;;;48.9;-3.083333333;5.55;0;1101;995;775;570;370;130;9;;;;;;
3;île_de_Bréhat;Abords_de_Saint-Malo;S;IGN;IGN69;48.83516667;-3.003333333;5.77;2007;1168;1055;820;595;375;135;10;21;11.536;6.31;-5.55;;0.4
4;Brehec;Abords_de_Saint-Malo;S;IGN;IGN69;48.727;-2.9461666;5.81;2010;1245;1120;860;637;410;155;20;1985;64.85;58.2;-5.885;;0.485
5;Saint-Quay-Portrieux;Abords_de_Saint-Malo;S;IGN;IGN69;48.6475;-2.81805;5.85;2010;1259;1145;870;638;410;150;9;21;13.62;7.712;-5.98;43.69;0.4
6;Binic;Abords_de_Saint-Malo;S;IGN;IGN69;48.6;-2.816666667;5.86;2012;1261;1135;870;636;405;140;-2;1985;13.565;7.667;-5.898;43.658;0.462
7;Les_Roches_Douvres;Abords_de_Saint-Malo;S;Shom;IGN69;49.1;-2.8166666;5.89;0;1082;980;750;552;360;130;3;21;11.32;;;;
8;Le_Légué_(Port);Abords_de_Saint-Malo;S;;;48.53333333;-2.733333333;;0;;1155;895;;;;;;;;;;
9;Le_Légué_(Bouée);Abords_de_Saint-Malo;S;DDE;IGN69;48.56666667;-2.683333333;5.92;0;1266;1150;880;646;410;145;7;21;13.51;7.564;-5.946;;0.514
10;Dahouet;Abords_de_Saint-Malo;S;IGN;IGN69;48.58333333;-2.566666667;5.88;2012;1268;1140;875;639;405;140;0;1985;13.36;7.494;-5.866;;0.524
11;Erquy;Abords_de_Saint-Malo;S;IGN;IGN69;48.63921667;-2.490183333;5.9;2012;1264;1140;870;633;400;130;-9;1985;14.5;8.671;-5.829;43.245;0.501
12;Saint-Cast;Abords_de_Saint-Malo;S;IGN;IGN69;48.63333333;-2.25;6.07;0;1331;1210;925;664;435;160;3;21;19.151;12.887;-6.264;41.82;0.376
13;île_des_Hébihens;Abords_de_Saint-Malo;S;;;48.61666667;-2.21;6.09;0;1334;1200;915;665;420;150;2;;;;;;
