stress_period	sp_length	time_step	study (0 : TS or 1 : SS)	rech
0.0	1.0	1.0	1.0	0.0
1.0	1.0	1.0	0.0	0.0010843420028686524
2.0	1.0	1.0	0.0	0.0010722923278808595
3.0	1.0	1.0	0.0	0.001055999755859375
4.0	1.0	1.0	0.0	0.0010294933319091796
5.0	1.0	1.0	0.0	0.0009934310913085938
6.0	1.0	1.0	0.0	0.0009681205749511719
7.0	1.0	1.0	0.0	0.0009436969757080078
8.0	1.0	1.0	0.0	0.0009190731048583984
9.0	1.0	1.0	0.0	0.0009030227661132813
10.0	1.0	1.0	0.0	0.0008761138916015625
11.0	1.0	1.0	0.0	0.0008391590118408203
12.0	1.0	1.0	0.0	0.0007981758117675781
13.0	1.0	1.0	0.0	0.0007583389282226563
14.0	1.0	1.0	0.0	0.0007227306365966797
15.0	1.0	1.0	0.0	0.0006937656402587891
16.0	1.0	1.0	0.0	0.0006710453033447266
17.0	1.0	1.0	0.0	0.0006511116027832031
18.0	1.0	1.0	0.0	0.0006321697235107422
19.0	1.0	1.0	0.0	0.000614877700805664
20.0	1.0	1.0	0.0	0.00059808349609375
21.0	1.0	1.0	0.0	0.0005805206298828125
22.0	1.0	1.0	0.0	0.0005634994506835937
23.0	1.0	1.0	0.0	0.0005590171813964844
24.0	1.0	1.0	0.0	0.0005675392150878906
25.0	1.0	1.0	0.0	0.0005756111145019531
26.0	1.0	1.0	0.0	0.0005868568420410157
27.0	1.0	1.0	0.0	0.0005938034057617188
28.0	1.0	1.0	0.0	0.0005949859619140625
29.0	1.0	1.0	0.0	0.0005978202819824219
30.0	1.0	1.0	0.0	0.0006271553039550781
31.0	1.0	1.0	0.0	0.0006596145629882812
32.0	1.0	1.0	0.0	0.0007012176513671875
33.0	1.0	1.0	0.0	0.0007260856628417969
34.0	1.0	1.0	0.0	0.0007348060607910156
35.0	1.0	1.0	0.0	0.0007315635681152344
36.0	1.0	1.0	0.0	0.0007238998413085937
37.0	1.0	1.0	0.0	0.0007101249694824219
38.0	1.0	1.0	0.0	0.0006921157836914062
39.0	1.0	1.0	0.0	0.0006738624572753906
40.0	1.0	1.0	0.0	0.000657379150390625
41.0	1.0	1.0	0.0	0.0006417579650878906
42.0	1.0	1.0	0.0	0.0006262321472167969
43.0	1.0	1.0	0.0	0.0006083793640136719
44.0	1.0	1.0	0.0	0.0005882644653320313
45.0	1.0	1.0	0.0	0.0005658454895019531
46.0	1.0	1.0	0.0	0.0005425224304199219
47.0	1.0	1.0	0.0	0.0005187110900878906
48.0	1.0	1.0	0.0	0.0004955596923828125
49.0	1.0	1.0	0.0	0.00047307586669921873
50.0	1.0	1.0	0.0	0.0004511833190917969
51.0	1.0	1.0	0.0	0.00042951202392578123
52.0	1.0	1.0	0.0	0.00040891647338867185
53.0	1.0	1.0	0.0	0.00038990402221679687
54.0	1.0	1.0	0.0	0.0003726882934570312
55.0	1.0	1.0	0.0	0.0003582763671875
56.0	1.0	1.0	0.0	0.000346893310546875
57.0	1.0	1.0	0.0	0.00033771514892578125
58.0	1.0	1.0	0.0	0.0003296966552734375
59.0	1.0	1.0	0.0	0.00032181549072265623
60.0	1.0	1.0	0.0	0.00031340789794921875
61.0	1.0	1.0	0.0	0.0003039588928222656
62.0	1.0	1.0	0.0	0.00029378128051757814
63.0	1.0	1.0	0.0	0.000283233642578125
64.0	1.0	1.0	0.0	0.0002723236083984375
65.0	1.0	1.0	0.0	0.00026110076904296874
66.0	1.0	1.0	0.0	0.0002505531311035156
67.0	1.0	1.0	0.0	0.000240447998046875
68.0	1.0	1.0	0.0	0.00023072052001953125
69.0	1.0	1.0	0.0	0.0002214508056640625
70.0	1.0	1.0	0.0	0.00021253204345703124
71.0	1.0	1.0	0.0	0.00020362091064453125
72.0	1.0	1.0	0.0	0.00019493865966796874
