stress_period	sp_length	time_step	study (0 : TS or 1 : SS)	rech
0	1	1	1	0.00000
1	1	1	0	0.00000
2	1	1	0	0.00001
3	1	1	0	0.00000
4	1	1	0	0.00012
5	1	1	0	0.00159
6	1	1	0	0.00030
7	1	1	0	0.00056
8	1	1	0	0.00000
9	1	1	0	0.00022
10	1	1	0	0.00013
11	1	1	0	0.00000
12	1	1	0	0.00000
13	1	1	0	0.00000
14	1	1	0	0.00000
15	1	1	0	0.00048
16	1	1	0	0.00000
17	1	1	0	0.00004
18	1	1	0	0.00081
19	1	1	0	0.00010
20	1	1	0	0.00072
21	1	1	0	0.00159
22	1	1	0	0.00043
23	1	1	0	0.00000
24	1	1	0	0.00000
25	1	1	0	0.00000
26	1	1	0	0.00000
27	1	1	0	0.00000
28	1	1	0	0.00010
29	1	1	0	0.00000
30	1	1	0	0.00015
31	1	1	0	0.00014
32	1	1	0	0.00002
33	1	1	0	0.00018
34	1	1	0	0.00000
35	1	1	0	0.00012
36	1	1	0	0.00008
37	1	1	0	0.00000
38	1	1	0	0.00005
39	1	1	0	0.00053
40	1	1	0	0.00000
41	1	1	0	0.00000
42	1	1	0	0.00078
43	1	1	0	0.00003
44	1	1	0	0.00024
45	1	1	0	0.00073
46	1	1	0	0.00000
47	1	1	0	0.00000
48	1	1	0	0.00000
49	1	1	0	0.00000
50	1	1	0	0.00000
51	1	1	0	0.00000
52	1	1	0	0.00000
53	1	1	0	0.00000
54	1	1	0	0.00000
55	1	1	0	0.00000
56	1	1	0	0.00000
57	1	1	0	0.00000
58	1	1	0	0.00000
59	1	1	0	0.00000
60	1	1	0	0.00019
61	1	1	0	0.00001
62	1	1	0	0.00013
63	1	1	0	0.00000
64	1	1	0	0.00013
65	1	1	0	0.00011
66	1	1	0	0.00033
67	1	1	0	0.00000
68	1	1	0	0.00007
69	1	1	0	0.00000
70	1	1	0	0.00015
71	1	1	0	0.00010
72	1	1	0	0.00000
73	1	1	0	0.00000
74	1	1	0	0.00000
75	1	1	0	0.00000
76	1	1	0	0.00000
77	1	1	0	0.00000
78	1	1	0	0.00000
79	1	1	0	0.00072
80	1	1	0	0.00027
81	1	1	0	0.00000
82	1	1	0	0.00000
83	1	1	0	0.00000
84	1	1	0	0.00000
85	1	1	0	0.00000
86	1	1	0	0.00001
87	1	1	0	0.00014
88	1	1	0	0.00000
89	1	1	0	0.00000
90	1	1	0	0.00000
91	1	1	0	0.00000
92	1	1	0	0.00008
93	1	1	0	0.00006
94	1	1	0	0.00016
95	1	1	0	0.00000
96	1	1	0	0.00017
97	1	1	0	0.00026
98	1	1	0	0.00120
99	1	1	0	0.00000
100	1	1	0	0.00031
101	1	1	0	0.00031
102	1	1	0	0.00000
103	1	1	0	0.00061
104	1	1	0	0.00000
105	1	1	0	0.00156
106	1	1	0	0.00006
107	1	1	0	0.00096
108	1	1	0	0.00046
109	1	1	0	0.00113
110	1	1	0	0.00050
111	1	1	0	0.00098
112	1	1	0	0.00025
113	1	1	0	0.00015
