stress_period	sp_length	time_step	study (0 : TS or 1 : SS)	rech
0	1	1	1	0
1	1	1	0	0
2	1	1	0	0
3	1	1	0	2.053E-05
4	1	1	0	5.805E-05
5	1	1	0	0.0001234
6	1	1	0	0.0002868
7	1	1	0	3.993E-05
8	1	1	0	8.112E-05
9	1	1	0	0
10	1	1	0	0
11	1	1	0	5.887E-07
12	1	1	0	0
13	1	1	0	1.267E-06
14	1	1	0	2.382E-07
15	1	1	0	1.215E-05
16	1	1	0	0.000207
17	1	1	0	3.543E-06
18	1	1	0	0.0001822
19	1	1	0	0.0001325
20	1	1	0	0.0001161
21	1	1	0	0.0001632
22	1	1	0	0.000212
23	1	1	0	3.192E-06
24	1	1	0	2.025E-05
25	1	1	0	0
26	1	1	0	0
27	1	1	0	0
28	1	1	0	0.0002259
29	1	1	0	0.0001959
30	1	1	0	0
31	1	1	0	1.59E-06
32	1	1	0	0
33	1	1	0	6.979E-05
34	1	1	0	2.751E-05
35	1	1	0	0
36	1	1	0	4.489E-07
37	1	1	0	0
38	1	1	0	1.979E-06
39	1	1	0	0.000123
40	1	1	0	0.0005214
41	1	1	0	4.643E-05
42	1	1	0	0.0001403
43	1	1	0	0.0003217
44	1	1	0	0.000189
45	1	1	0	0.0003826
46	1	1	0	0.0003789
47	1	1	0	0
48	1	1	0	0
49	1	1	0	0
50	1	1	0	0
51	1	1	0	0
52	1	1	0	0
53	1	1	0	0
54	1	1	0	0
55	1	1	0	0
56	1	1	0	0
57	1	1	0	0
58	1	1	0	0
59	1	1	0	0
60	1	1	0	2.677E-06
61	1	1	0	3.707E-05
62	1	1	0	5.834E-05
63	1	1	0	1.564E-06
64	1	1	0	0
65	1	1	0	7.443E-07
66	1	1	0	0.0001683
67	1	1	0	0.0001536
68	1	1	0	1.861E-05
69	1	1	0	5.994E-05
70	1	1	0	4.211E-05
71	1	1	0	0.0003709
72	1	1	0	0
73	1	1	0	0
74	1	1	0	0
75	1	1	0	0
76	1	1	0	0
77	1	1	0	0
78	1	1	0	0
79	1	1	0	0
80	1	1	0	4.039E-05
81	1	1	0	2.539E-05
82	1	1	0	7.647E-05
83	1	1	0	1.034E-06
84	1	1	0	0
85	1	1	0	0
86	1	1	0	0
87	1	1	0	0
88	1	1	0	7.134E-06
89	1	1	0	0
90	1	1	0	0
91	1	1	0	0
92	1	1	0	0
93	1	1	0	2.27E-06
94	1	1	0	0
95	1	1	0	1.273E-05
96	1	1	0	0
97	1	1	0	3.492E-05
98	1	1	0	9.714E-05
99	1	1	0	0.0002413
100	1	1	0	0
101	1	1	0	3.694E-05
102	1	1	0	0
103	1	1	0	0
104	1	1	0	0.0001388
105	1	1	0	0.0001352
106	1	1	0	0.0004344
107	1	1	0	4.725E-05
108	1	1	0	0.0003213
109	1	1	0	0.0006328
