stress_period	sp_length	time_step	study (0 : TS or 1 : SS)	rech
0.0	1.0	1.0	1.0	0.0
7306.0	1.0	1.0	0.0	0.0
7307.0	1.0	1.0	0.0	0.0
7308.0	1.0	1.0	0.0	0.0
7309.0	1.0	1.0	0.0	0.0
7310.0	1.0	1.0	0.0	0.0
7311.0	1.0	1.0	0.0	0.0
7312.0	1.0	1.0	0.0	0.0
7313.0	1.0	1.0	0.0	0.0
7314.0	1.0	1.0	0.0	0.0
7315.0	1.0	1.0	0.0	0.0
7316.0	1.0	1.0	0.0	0.0
7317.0	1.0	1.0	0.0	0.0
7318.0	1.0	1.0	0.0	1e-05
7319.0	1.0	1.0	0.0	7e-05
7320.0	1.0	1.0	0.0	3e-05
7321.0	1.0	1.0	0.0	0.00012
7322.0	1.0	1.0	0.0	5e-05
7323.0	1.0	1.0	0.0	3e-05
7324.0	1.0	1.0	0.0	0.0
7325.0	1.0	1.0	0.0	0.0
7326.0	1.0	1.0	0.0	0.0
7327.0	1.0	1.0	0.0	0.0
7328.0	1.0	1.0	0.0	0.0
7329.0	1.0	1.0	0.0	0.0
7330.0	1.0	1.0	0.0	0.0
7331.0	1.0	1.0	0.0	0.0
7332.0	1.0	1.0	0.0	0.0
7333.0	1.0	1.0	0.0	0.0
7334.0	1.0	1.0	0.0	0.0
7335.0	1.0	1.0	0.0	1e-05
7336.0	1.0	1.0	0.0	0.0
7337.0	1.0	1.0	0.0	0.0
7338.0	1.0	1.0	0.0	0.0
7339.0	1.0	1.0	0.0	0.0
7340.0	1.0	1.0	0.0	0.0
7341.0	1.0	1.0	0.0	0.0
7342.0	1.0	1.0	0.0	0.0
7343.0	1.0	1.0	0.0	0.0
7344.0	1.0	1.0	0.0	0.0
7345.0	1.0	1.0	0.0	0.0
7346.0	1.0	1.0	0.0	0.0
7347.0	1.0	1.0	0.0	0.0
7348.0	1.0	1.0	0.0	0.0
7349.0	1.0	1.0	0.0	0.0
7350.0	1.0	1.0	0.0	0.0
7351.0	1.0	1.0	0.0	0.0
7352.0	1.0	1.0	0.0	0.0
7353.0	1.0	1.0	0.0	0.0
7354.0	1.0	1.0	0.0	0.0
7355.0	1.0	1.0	0.0	0.0
7356.0	1.0	1.0	0.0	1e-05
7357.0	1.0	1.0	0.0	1e-05
