number,chronicle,template
0,Ref,input_file_ref.txt
1,Faouët,input_file_ref_2618.txt
2,Custom_S18_S2_B9_S32_S18_S13_B1_S8_S26_S12_B3_S22_S3_S2_B5_S17_S17_S22_B4_S8_S24_S30_B3_S15_S23_S15_B2_S16_S19_S10_B4_S3_S10_S27_B3_S14_S8_S32_B1_S2_S25_S11,input_file_ref_S18_S2_B9_S32_S18_S13_B1_S8_S26_S12_B3_S22_S3_S2_B5_S17_S17_S22_B4_S8_S24_S30_B3_S15_S23_S15_B2_S16_S19_S10_B4_S3_S10_S27_B3_S14_S8_S32_B1_S2_S25_S11.txt
3,Custom_S24_S18_B9_S8_S16_S24_B4_S23_S21_S19_B9_S30_S22_S31_B6_S18_S17_S2_B7_S23_S8_S12_B6_S29_S15_S1_B7_S19_S21_S16_B10_S30_S4_S14_B10_S9_S28_S32_B9_S7_S11_S18,input_file_ref_S24_S18_B9_S8_S16_S24_B4_S23_S21_S19_B9_S30_S22_S31_B6_S18_S17_S2_B7_S23_S8_S12_B6_S29_S15_S1_B7_S19_S21_S16_B10_S30_S4_S14_B10_S9_S28_S32_B9_S7_S11_S18.txt
4,Custom_S16_S20_B8_S16_S16_S10_B3_S32_S3_S9_B1_S28_S6_S10_B7_S21_S4_S28_B2_S30_S21_S5_B6_S25_S4_S8_B5_S19_S20_S5_B3_S32_S28_S20_B10_S29_S29_S21_B8_S7_S21_S26,input_file_ref_S16_S20_B8_S16_S16_S10_B3_S32_S3_S9_B1_S28_S6_S10_B7_S21_S4_S28_B2_S30_S21_S5_B6_S25_S4_S8_B5_S19_S20_S5_B3_S32_S28_S20_B10_S29_S29_S21_B8_S7_S21_S26.txt
5,Custom_S4_S19_B7_S15_S30_S14_B1_S26_S17_S13_B7_S26_S27_S18_B7_S3_S30_S4_B4_S25_S13_S30_B4_S6_S11_S2_B2_S3_S25_S24_B7_S32_S22_S9_B10_S21_S27_S19_B9_S5_S17_S17,input_file_ref_S4_S19_B7_S15_S30_S14_B1_S26_S17_S13_B7_S26_S27_S18_B7_S3_S30_S4_B4_S25_S13_S30_B4_S6_S11_S2_B2_S3_S25_S24_B7_S32_S22_S9_B10_S21_S27_S19_B9_S5_S17_S17.txt
6,Custom_S17_S27_B9_S15_S28_S20_B3_S12_S9_S2_B3_S15_S24_S9_B4_S8_S7_S16_B3_S8_S5_S26_B9_S13_S26_S20_B1_S32_S28_S10_B7_S26_S23_S3_B10_S3_S31_S32_B8_S17_S6_S15,input_file_ref_S17_S27_B9_S15_S28_S20_B3_S12_S9_S2_B3_S15_S24_S9_B4_S8_S7_S16_B3_S8_S5_S26_B9_S13_S26_S20_B1_S32_S28_S10_B7_S26_S23_S3_B10_S3_S31_S32_B8_S17_S6_S15.txt
7,Custom_S12_S4_B3_S29_S9_S25_B1_S32_S7_S6_B7_S18_S26_S13_B5_S21_S23_S23_B1_S30_S11_S17_B10_S26_S22_S18_B1_S13_S22_S30_B7_S18_S10_S2_B5_S8_S31_S30_B8_S28_S12_S14,input_file_ref_S12_S4_B3_S29_S9_S25_B1_S32_S7_S6_B7_S18_S26_S13_B5_S21_S23_S23_B1_S30_S11_S17_B10_S26_S22_S18_B1_S13_S22_S30_B7_S18_S10_S2_B5_S8_S31_S30_B8_S28_S12_S14.txt
8,Custom_S12_S26_B4_S17_S9_S10_B2_S20_S11_S31_B1_S8_S11_S6_B8_S12_S16_S11_B4_S5_S12_S14_B10_S6_S27_S9_B8_S11_S3_S20_B4_S6_S7_S26_B1_S4_S23_S15_B1_S18_S28_S3,input_file_ref_S12_S26_B4_S17_S9_S10_B2_S20_S11_S31_B1_S8_S11_S6_B8_S12_S16_S11_B4_S5_S12_S14_B10_S6_S27_S9_B8_S11_S3_S20_B4_S6_S7_S26_B1_S4_S23_S15_B1_S18_S28_S3.txt
9,Custom_S13_S29_B6_S21_S10_S28_B5_S21_S5_S21_B8_S9_S10_S17_B2_S19_S19_S30_B10_S30_S20_S14_B3_S8_S25_S4_B3_S10_S6_S22_B2_S9_S19_S10_B6_S2_S5_S23_B8_S25_S19_S15,input_file_ref_S13_S29_B6_S21_S10_S28_B5_S21_S5_S21_B8_S9_S10_S17_B2_S19_S19_S30_B10_S30_S20_S14_B3_S8_S25_S4_B3_S10_S6_S22_B2_S9_S19_S10_B6_S2_S5_S23_B8_S25_S19_S15.txt
10,GIEC_IPS1_REC_RCP2.6_Cell1,input_file_IPS1_REC_RCP2.6_Cell1.txt
11,GIEC_IPS1_REC_RCP2.6_Cell888,input_file_IPS1_REC_RCP2.6_Cell888.txt
12,GIEC_IPS1_REC_RCP2.6_Cell2108,input_file_IPS1_REC_RCP2.6_Cell2108.txt
13,GIEC_IPS1_REC_RCP2.6_Cell5021,input_file_IPS1_REC_RCP2.6_Cell5021.txt
14,GIEC_IPS1_REC_RCP2.6_Cell7288,input_file_IPS1_REC_RCP2.6_Cell7288.txt
15,GIEC_IPS1_REC_RCP2.6_Cell8510,input_file_IPS1_REC_RCP2.6_Cell8510.txt
16,GIEC_IPS1_REC_RCP4.5_Cell1,input_file_IPS1_REC_RCP4.5_Cell1.txt
17,GIEC_IPS1_REC_RCP4.5_Cell888,input_file_IPS1_REC_RCP4.5_Cell888.txt
18,GIEC_IPS1_REC_RCP4.5_Cell2108,input_file_IPS1_REC_RCP4.5_Cell2108.txt
19,GIEC_IPS1_REC_RCP4.5_Cell5021,input_file_IPS1_REC_RCP4.5_Cell5021.txt
20,GIEC_IPS1_REC_RCP4.5_Cell7288,input_file_IPS1_REC_RCP4.5_Cell7288.txt
21,GIEC_IPS1_REC_RCP4.5_Cell8510,input_file_IPS1_REC_RCP4.5_Cell8510.txt
22,GIEC_IPS1_REC_RCP8.5_Cell1,input_file_IPS1_REC_RCP8.5_Cell1.txt
23,GIEC_IPS1_REC_RCP8.5_Cell888,input_file_IPS1_REC_RCP8.5_Cell888.txt
