stress_period	sp_length	time_step	study (0 : TS or 1 : SS)	rech
0.0	1.0	1.0	1.0	0.0
1.0	1.0	1.0	0.0	0.0011650943756103516
2.0	1.0	1.0	0.0	0.00117437744140625
3.0	1.0	1.0	0.0	0.0011762924194335938
4.0	1.0	1.0	0.0	0.0012105598449707032
5.0	1.0	1.0	0.0	0.0012434005737304687
6.0	1.0	1.0	0.0	0.0013722915649414062
7.0	1.0	1.0	0.0	0.0014861526489257813
8.0	1.0	1.0	0.0	0.0018452682495117187
9.0	1.0	1.0	0.0	0.002166961669921875
10.0	1.0	1.0	0.0	0.002112537384033203
11.0	1.0	1.0	0.0	0.0020645904541015626
12.0	1.0	1.0	0.0	0.0019578590393066406
13.0	1.0	1.0	0.0	0.001926239013671875
14.0	1.0	1.0	0.0	0.00188958740234375
15.0	1.0	1.0	0.0	0.0018178253173828124
16.0	1.0	1.0	0.0	0.0018153038024902343
17.0	1.0	1.0	0.0	0.0020707664489746096
18.0	1.0	1.0	0.0	0.0021676216125488283
19.0	1.0	1.0	0.0	0.0022443809509277344
20.0	1.0	1.0	0.0	0.002319618225097656
21.0	1.0	1.0	0.0	0.002389472961425781
22.0	1.0	1.0	0.0	0.0023629226684570314
23.0	1.0	1.0	0.0	0.0023170166015625
24.0	1.0	1.0	0.0	0.002222015380859375
25.0	1.0	1.0	0.0	0.0021292648315429687
26.0	1.0	1.0	0.0	0.002448493957519531
27.0	1.0	1.0	0.0	0.002715850830078125
28.0	1.0	1.0	0.0	0.002818000793457031
29.0	1.0	1.0	0.0	0.0029969329833984377
30.0	1.0	1.0	0.0	0.0032609405517578125
31.0	1.0	1.0	0.0	0.0037686614990234376
32.0	1.0	1.0	0.0	0.0037791976928710936
33.0	1.0	1.0	0.0	0.003943008422851562
34.0	1.0	1.0	0.0	0.003710601806640625
35.0	1.0	1.0	0.0	0.0036559600830078126
36.0	1.0	1.0	0.0	0.00401434326171875
37.0	1.0	1.0	0.0	0.003941009521484375
38.0	1.0	1.0	0.0	0.0039006729125976563
39.0	1.0	1.0	0.0	0.004061691284179688
40.0	1.0	1.0	0.0	0.003957260131835938
41.0	1.0	1.0	0.0	0.0036373138427734375
42.0	1.0	1.0	0.0	0.0032402496337890626
43.0	1.0	1.0	0.0	0.0028941497802734374
44.0	1.0	1.0	0.0	0.0026449737548828126
45.0	1.0	1.0	0.0	0.0024159088134765626
46.0	1.0	1.0	0.0	0.0022132568359375
47.0	1.0	1.0	0.0	0.0020576324462890623
48.0	1.0	1.0	0.0	0.0019517974853515624
49.0	1.0	1.0	0.0	0.0018820953369140625
50.0	1.0	1.0	0.0	0.0018037261962890625
51.0	1.0	1.0	0.0	0.00169293212890625
52.0	1.0	1.0	0.0	0.0015758056640625
53.0	1.0	1.0	0.0	0.0014608917236328125
54.0	1.0	1.0	0.0	0.001352935791015625
55.0	1.0	1.0	0.0	0.0012541961669921874
56.0	1.0	1.0	0.0	0.00116656494140625
57.0	1.0	1.0	0.0	0.0010851898193359375
58.0	1.0	1.0	0.0	0.0010074005126953125
59.0	1.0	1.0	0.0	0.0009365386962890625
60.0	1.0	1.0	0.0	0.0008758697509765626
61.0	1.0	1.0	0.0	0.00083209228515625
62.0	1.0	1.0	0.0	0.000812530517578125
63.0	1.0	1.0	0.0	0.00081884765625
64.0	1.0	1.0	0.0	0.000912322998046875
65.0	1.0	1.0	0.0	0.0010929107666015625
66.0	1.0	1.0	0.0	0.001152557373046875
67.0	1.0	1.0	0.0	0.0011842193603515624
68.0	1.0	1.0	0.0	0.0012195892333984376
