stress_period	sp_length	time_step	study (0 : TS or 1 : SS)	rech
0.0	1.0	1.0	1.0	0.0008005495078547683
182.0	182.0	1.0	0.0	0.00584
364.0	182.0	1.0	0.0	0.0
546.0	182.0	1.0	0.0	0.005679999999999999
728.0	182.0	1.0	0.0	0.0
910.0	182.0	1.0	0.0	0.0035
1092.0	182.0	1.0	0.0	0.0
1274.0	182.0	1.0	0.0	0.0011099999999999999
1456.0	182.0	1.0	0.0	0.0
1638.0	182.0	1.0	0.0	0.0025
1820.0	182.0	1.0	0.0	0.0
2002.0	182.0	1.0	0.0	0.00037999999999999997
2184.0	182.0	1.0	0.0	0.0
2366.0	182.0	1.0	0.0	0.00185
2548.0	182.0	1.0	0.0	0.00021
2730.0	182.0	1.0	0.0	0.00103
2912.0	182.0	1.0	0.0	0.0
3094.0	182.0	1.0	0.0	0.00118
3276.0	182.0	1.0	0.0	0.0
3458.0	182.0	1.0	0.0	0.00037999999999999997
3640.0	182.0	1.0	0.0	0.00028
3822.0	182.0	1.0	0.0	0.0033200000000000005
4004.0	182.0	1.0	0.0	1e-05
4186.0	182.0	1.0	0.0	0.00252
4368.0	182.0	1.0	0.0	0.0
4550.0	182.0	1.0	0.0	0.0015
4732.0	182.0	1.0	0.0	0.0
4914.0	182.0	1.0	0.0	0.00441
5096.0	182.0	1.0	0.0	0.00018
5278.0	182.0	1.0	0.0	0.0004
5460.0	182.0	1.0	0.0	0.0
5642.0	182.0	1.0	0.0	0.00283
5824.0	182.0	1.0	0.0	0.00018999999999999998
6006.0	182.0	1.0	0.0	0.00195
6188.0	182.0	1.0	0.0	0.0
6370.0	182.0	1.0	0.0	0.004079999999999999
6552.0	182.0	1.0	0.0	0.0
6734.0	182.0	1.0	0.0	2.9999999999999997e-05
6916.0	182.0	1.0	0.0	0.0
7098.0	182.0	1.0	0.0	0.0008900000000000001
7280.0	182.0	1.0	0.0	0.00011
7462.0	182.0	1.0	0.0	0.00406
7644.0	182.0	1.0	0.0	0.0
7826.0	182.0	1.0	0.0	0.00028
8008.0	182.0	1.0	0.0	0.00035
8190.0	182.0	1.0	0.0	0.0
8372.0	182.0	1.0	0.0	0.0
8554.0	182.0	1.0	0.0	0.00625
8736.0	182.0	1.0	0.0	0.00055
8918.0	182.0	1.0	0.0	0.0051600000000000005
9100.0	182.0	1.0	0.0	5.9999999999999995e-05
9282.0	182.0	1.0	0.0	0.00256
9464.0	182.0	1.0	0.0	1e-05
9646.0	182.0	1.0	0.0	0.0011099999999999999
9828.0	182.0	1.0	0.0	2.9999999999999997e-05
10010.0	182.0	1.0	0.0	0.00511
10192.0	182.0	1.0	0.0	1e-05
10374.0	182.0	1.0	0.0	0.00396
10556.0	182.0	1.0	0.0	0.0
10738.0	182.0	1.0	0.0	0.00619
10920.0	182.0	1.0	0.0	0.0
11102.0	182.0	1.0	0.0	0.00243
11284.0	182.0	1.0	0.0	0.0
11466.0	182.0	1.0	0.0	0.00018999999999999998
11648.0	182.0	1.0	0.0	0.0
11830.0	182.0	1.0	0.0	0.00381
12012.0	182.0	1.0	0.0	0.0
12194.0	182.0	1.0	0.0	0.00065
12376.0	182.0	1.0	0.0	0.0
12558.0	182.0	1.0	0.0	0.00137
12740.0	182.0	1.0	0.0	0.0
12922.0	182.0	1.0	0.0	0.00112
13104.0	182.0	1.0	0.0	0.0
13286.0	182.0	1.0	0.0	0.0050100000000000006
13468.0	182.0	1.0	0.0	0.00086
13650.0	182.0	1.0	0.0	0.0
13832.0	182.0	1.0	0.0	0.0
14014.0	182.0	1.0	0.0	0.00457
14196.0	182.0	1.0	0.0	1e-05
14378.0	182.0	1.0	0.0	0.00367
14560.0	182.0	1.0	0.0	0.0
14742.0	182.0	1.0	0.0	0.00128
14924.0	182.0	1.0	0.0	1e-05
15106.0	182.0	1.0	0.0	1e-05
15288.0	53.0	1.0	0.0	0.0
