stress_period	sp_length	time_step	study (0 : TS or 1 : SS)	rech
0.0	1.0	1.0	1.0	0.0
1.0	18.0	1.0	0.0	0.00046916622585715554
19.0	18.0	1.0	0.0	0.00045343293084033887
37.0	18.0	1.0	0.0	0.0005333699120415056
55.0	18.0	1.0	0.0	0.0004439116583929666
73.0	18.0	1.0	0.0	0.0002219327290852333
91.0	18.0	1.0	0.0	0.00012150531344938747
109.0	18.0	1.0	0.0	6.762695312499999e-05
127.0	18.0	1.0	0.0	3.1234741210937496e-05
145.0	18.0	1.0	0.0	0.00019481743706596178
163.0	18.0	1.0	0.0	6.282085842555765e-05
181.0	18.0	1.0	0.0	2.7832878960503472e-05
199.0	18.0	1.0	0.0	2.0272913078467055e-05
217.0	18.0	1.0	0.0	1.1601958837774064e-05
235.0	18.0	1.0	0.0	7.5168377823299835e-06
253.0	18.0	1.0	0.0	5.403783586290147e-06
271.0	18.0	1.0	0.0	1.1621415615081788e-05
289.0	18.0	1.0	0.0	4.539559284845989e-06
307.0	18.0	1.0	0.0	3.444068961673313e-06
325.0	18.0	1.0	0.0	3.4929944409264457e-06
343.0	18.0	1.0	0.0	7.840225431653402e-05
361.0	18.0	1.0	0.0	5.6450512674111886e-05
379.0	18.0	1.0	0.0	7.27132029003519e-05
397.0	18.0	1.0	0.0	0.00019597991307571114
415.0	18.0	1.0	0.0	0.0001590252452426
433.0	18.0	1.0	0.0	8.255677753024341e-05
451.0	18.0	1.0	0.0	7.216050889756611e-05
469.0	18.0	1.0	0.0	3.860229916042752e-05
487.0	18.0	1.0	0.0	0.0002362380027770774
505.0	18.0	1.0	0.0	6.771310170490512e-05
523.0	18.0	1.0	0.0	2.3358874850802945e-05
541.0	18.0	1.0	0.0	1.223733690049913e-05
559.0	18.0	1.0	0.0	1.0351498921712241e-05
577.0	18.0	1.0	0.0	6.050008452600904e-06
595.0	18.0	1.0	0.0	4.457288732131323e-06
613.0	18.0	1.0	0.0	4.92511358526018e-06
631.0	18.0	1.0	0.0	4.3170637554584066e-05
649.0	18.0	1.0	0.0	0.000191518492168827
667.0	18.0	1.0	0.0	0.00010450310177271204
685.0	18.0	1.0	0.0	3.951581319173178e-05
703.0	18.0	1.0	0.0	0.00020398150549991116
721.0	18.0	1.0	0.0	0.00017018879784472222
739.0	18.0	1.0	0.0	9.487364027233972e-05
757.0	18.0	1.0	0.0	6.265163421630859e-05
775.0	18.0	1.0	0.0	0.0002779941558837789
793.0	18.0	1.0	0.0	0.000599616898430661
811.0	18.0	1.0	0.0	0.00023831685384109443
829.0	18.0	1.0	0.0	9.40488179524566e-05
847.0	18.0	1.0	0.0	4.5965830485026036e-05
865.0	18.0	1.0	0.0	2.2795147365993927e-05
883.0	18.0	1.0	0.0	1.2718200683593749e-05
901.0	18.0	1.0	0.0	7.911258273654516e-06
919.0	18.0	1.0	0.0	5.467944675021702e-06
937.0	18.0	1.0	0.0	6.25691811243693e-06
955.0	18.0	1.0	0.0	3.119574280248021e-05
973.0	18.0	1.0	0.0	5.603455834918552e-06
991.0	18.0	1.0	0.0	0.00010385188791485479
1009.0	18.0	1.0	0.0	8.953244156305473e-05
1027.0	18.0	1.0	0.0	7.486952675713433e-06
1045.0	18.0	1.0	0.0	1.497552129957411e-05
1063.0	18.0	1.0	0.0	1.3325770696004233e-05
1081.0	18.0	1.0	0.0	1.7665730582343206e-05
1099.0	18.0	1.0	0.0	2.4992889828152128e-05
