stress_period	sp_length	time_step	study (0 : TS or 1 : SS)	rech
0.0	1.0	1.0	1.0	0.0008005495078547683
1.0	100.0	1.0	0.0	0.00014849999999999998
101.0	100.0	1.0	0.0	0.0015738000000000004
201.0	100.0	1.0	0.0	0.0007031000000000002
301.0	100.0	1.0	0.0	0.0001606999999999999
401.0	100.0	1.0	0.0	0.0003054
501.0	100.0	1.0	0.0	0.0023006
601.0	100.0	1.0	0.0	0.0004571000000000002
701.0	100.0	1.0	0.0	3.570000000000001e-05
801.0	100.0	1.0	0.0	0.00038379999999999995
901.0	100.0	1.0	0.0	0.0009591
1001.0	100.0	1.0	0.0	0.00018560000000000007
1101.0	100.0	1.0	0.0	0.00013249999999999997
1201.0	100.0	1.0	0.0	0.0018511000000000003
1301.0	100.0	1.0	0.0	0.0006711999999999999
1401.0	100.0	1.0	0.0	4.730000000000002e-05
1501.0	100.0	1.0	0.0	0.0029267999999999985
1601.0	100.0	1.0	0.0	0.0013771999999999999
1701.0	100.0	1.0	0.0	0.0005340000000000001
1801.0	100.0	1.0	0.0	5.75e-05
1901.0	100.0	1.0	0.0	0.00040349999999999983
2001.0	100.0	1.0	0.0	0.0005327
2101.0	100.0	1.0	0.0	6e-06
2201.0	100.0	1.0	0.0	0.0007640000000000001
2301.0	100.0	1.0	0.0	0.0027828
2401.0	100.0	1.0	0.0	0.0006274000000000002
2501.0	100.0	1.0	0.0	9.07e-05
2601.0	100.0	1.0	0.0	0.0005841
2701.0	100.0	1.0	0.0	0.0029789
2801.0	100.0	1.0	0.0	0.00037500000000000017
2901.0	100.0	1.0	0.0	4.789999999999997e-05
3001.0	100.0	1.0	0.0	0.0002984
3101.0	100.0	1.0	0.0	0.0020811000000000007
3201.0	100.0	1.0	0.0	0.00032740000000000004
3301.0	100.0	1.0	0.0	0.0006188000000000001
3401.0	100.0	1.0	0.0	0.003229300000000001
3501.0	100.0	1.0	0.0	0.0005289999999999998
3601.0	100.0	1.0	0.0	0.00011069999999999995
3701.0	100.0	1.0	0.0	0.0012797999999999998
3801.0	100.0	1.0	0.0	0.0021190000000000002
3901.0	100.0	1.0	0.0	0.0014922000000000004
4001.0	100.0	1.0	0.0	0.0004951999999999999
4101.0	100.0	1.0	0.0	0.0026948000000000007
4201.0	100.0	1.0	0.0	0.0006153
4301.0	100.0	1.0	0.0	0.00011619999999999998
4401.0	100.0	1.0	0.0	0.0013968999999999993
4501.0	100.0	1.0	0.0	0.002539900000000001
4601.0	100.0	1.0	0.0	0.0008782
4701.0	100.0	1.0	0.0	2.98e-05
4801.0	100.0	1.0	0.0	9.92e-05
4901.0	100.0	1.0	0.0	0.0017989000000000002
5001.0	100.0	1.0	0.0	5.649999999999998e-05
5101.0	100.0	1.0	0.0	6.05e-05
5201.0	100.0	1.0	0.0	0.0018405000000000001
5301.0	100.0	1.0	0.0	0.0010645000000000001
5401.0	100.0	1.0	0.0	4.130000000000001e-05
5501.0	100.0	1.0	0.0	3.6500000000000006e-05
5601.0	100.0	1.0	0.0	0.0009937000000000004
5701.0	100.0	1.0	0.0	0.0008213999999999996
5801.0	100.0	1.0	0.0	0.00010639999999999998
5901.0	100.0	1.0	0.0	0.0015815000000000002
6001.0	100.0	1.0	0.0	0.0008466
6101.0	100.0	1.0	0.0	0.00010809999999999998
6201.0	100.0	1.0	0.0	0.00011640000000000002
6301.0	100.0	1.0	0.0	0.0025177
6401.0	100.0	1.0	0.0	0.0009561000000000004
6501.0	100.0	1.0	0.0	4.579999999999999e-05
6601.0	100.0	1.0	0.0	0.0001082
6701.0	100.0	1.0	0.0	0.0010255999999999998
6801.0	100.0	1.0	0.0	0.0003822999999999998
6901.0	100.0	1.0	0.0	2.8600000000000004e-05
7001.0	100.0	1.0	0.0	0.00016010000000000004
7101.0	100.0	1.0	0.0	0.0017663000000000006
7201.0	100.0	1.0	0.0	3.4e-05
7301.0	100.0	1.0	0.0	7.950000000000001e-05
7401.0	100.0	1.0	0.0	0.0012993999999999994
7501.0	100.0	1.0	0.0	0.0004577000000000002
7601.0	100.0	1.0	0.0	3.080000000000002e-05
7701.0	100.0	1.0	0.0	0.0002737
7801.0	100.0	1.0	0.0	0.00039090000000000007
7901.0	100.0	1.0	0.0	0.00014429999999999996
8001.0	100.0	1.0	0.0	0.00010570000000000001
8101.0	100.0	1.0	0.0	0.0021252999999999992
8201.0	100.0	1.0	0.0	0.0004704000000000002
8301.0	100.0	1.0	0.0	0.0004790000000000001
8401.0	100.0	1.0	0.0	0.0008883
8501.0	100.0	1.0	0.0	0.0035576000000000006
8601.0	100.0	1.0	0.0	0.0017621000000000004
8701.0	100.0	1.0	0.0	0.00028499999999999993
8801.0	100.0	1.0	0.0	0.0020913999999999993
8901.0	100.0	1.0	0.0	0.0037617999999999996
9001.0	100.0	1.0	0.0	0.00013249999999999997
9101.0	100.0	1.0	0.0	7.91e-05
9201.0	100.0	1.0	0.0	0.0004831
9301.0	100.0	1.0	0.0	0.0007069000000000005
9401.0	100.0	1.0	0.0	6.949999999999995e-05
9501.0	100.0	1.0	0.0	6.120000000000001e-05
9601.0	100.0	1.0	0.0	0.0013125000000000003
9701.0	100.0	1.0	0.0	0.0001548
9801.0	100.0	1.0	0.0	6.369999999999998e-05
9901.0	100.0	1.0	0.0	0.00014070000000000003
10001.0	100.0	1.0	0.0	0.0013679000000000013
10101.0	100.0	1.0	0.0	0.0007318999999999997
10201.0	100.0	1.0	0.0	7.800000000000001e-05
10301.0	100.0	1.0	0.0	0.003110199999999999
10401.0	100.0	1.0	0.0	0.0015690000000000007
10501.0	100.0	1.0	0.0	6.229999999999998e-05
10601.0	100.0	1.0	0.0	0.0001226
10701.0	100.0	1.0	0.0	0.0027852
10801.0	100.0	1.0	0.0	0.0003777000000000001
10901.0	100.0	1.0	0.0	3.980000000000001e-05
11001.0	100.0	1.0	0.0	0.0034844000000000003
11101.0	100.0	1.0	0.0	0.0028591999999999997
11201.0	100.0	1.0	0.0	0.0005929
11301.0	100.0	1.0	0.0	6.719999999999998e-05
11401.0	100.0	1.0	0.0	0.00047869999999999987
11501.0	100.0	1.0	0.0	0.0010847999999999997
11601.0	100.0	1.0	0.0	5.599999999999998e-05
11701.0	100.0	1.0	0.0	0.0005620000000000001
11801.0	100.0	1.0	0.0	0.0022168999999999995
11901.0	100.0	1.0	0.0	0.00020439999999999993
12001.0	100.0	1.0	0.0	5.799999999999999e-06
12101.0	100.0	1.0	0.0	0.0001318
12201.0	100.0	1.0	0.0	0.0014857000000000002
12301.0	100.0	1.0	0.0	8.569999999999998e-05
12401.0	100.0	1.0	0.0	0.00015069999999999998
12501.0	100.0	1.0	0.0	0.0013204999999999996
12601.0	100.0	1.0	0.0	0.00041610000000000014
12701.0	100.0	1.0	0.0	5.3599999999999995e-05
12801.0	100.0	1.0	0.0	0.0001535
12901.0	100.0	1.0	0.0	0.0015316000000000001
13001.0	100.0	1.0	0.0	0.00045240000000000005
13101.0	100.0	1.0	0.0	3.3400000000000005e-05
13201.0	100.0	1.0	0.0	0.0010004999999999999
13301.0	100.0	1.0	0.0	0.0014579999999999997
13401.0	100.0	1.0	0.0	0.0001653
13501.0	100.0	1.0	0.0	7.529999999999997e-05
13601.0	100.0	1.0	0.0	0.0005729
13701.0	100.0	1.0	0.0	0.00046420000000000017
13801.0	100.0	1.0	0.0	0.00010439999999999995
13901.0	100.0	1.0	0.0	0.0004119000000000001
14001.0	100.0	1.0	0.0	0.0017267000000000007
14101.0	100.0	1.0	0.0	0.00015219999999999999
14201.0	100.0	1.0	0.0	1.4400000000000003e-05
14301.0	100.0	1.0	0.0	0.0014468999999999997
14401.0	100.0	1.0	0.0	0.0013260000000000006
14501.0	100.0	1.0	0.0	8.1e-06
14601.0	100.0	1.0	0.0	8.53e-05
14701.0	100.0	1.0	0.0	0.0014761999999999996
14801.0	100.0	1.0	0.0	0.00029149999999999993
14901.0	100.0	1.0	0.0	5.7199999999999994e-05
15001.0	100.0	1.0	0.0	5.1400000000000016e-05
15101.0	100.0	1.0	0.0	0.0012096999999999998
15201.0	100.0	1.0	0.0	0.0001524
15301.0	40.0	1.0	0.0	7.575000000000001e-05
