stress_period	sp_length	time_step	study (0 : TS or 1 : SS)	rech
0.0	1.0	1.0	1.0	0.0
8402.0	1.0	1.0	0.0	0.0
8403.0	1.0	1.0	0.0	0.0001
8404.0	1.0	1.0	0.0	1e-05
8405.0	1.0	1.0	0.0	3e-05
8406.0	1.0	1.0	0.0	0.0
8407.0	1.0	1.0	0.0	0.0
8408.0	1.0	1.0	0.0	0.0
8409.0	1.0	1.0	0.0	0.00017
8410.0	1.0	1.0	0.0	7e-05
8411.0	1.0	1.0	0.0	0.0
8412.0	1.0	1.0	0.0	0.0
8413.0	1.0	1.0	0.0	8e-05
8414.0	1.0	1.0	0.0	0.0
8415.0	1.0	1.0	0.0	5e-05
8416.0	1.0	1.0	0.0	0.0
8417.0	1.0	1.0	0.0	0.0
8418.0	1.0	1.0	0.0	0.0
8419.0	1.0	1.0	0.0	0.0
8420.0	1.0	1.0	0.0	0.0
8421.0	1.0	1.0	0.0	0.0
8422.0	1.0	1.0	0.0	1e-05
8423.0	1.0	1.0	0.0	0.00018
8424.0	1.0	1.0	0.0	0.0
8425.0	1.0	1.0	0.0	0.0
8426.0	1.0	1.0	0.0	0.0
8427.0	1.0	1.0	0.0	1e-05
8428.0	1.0	1.0	0.0	0.0
8429.0	1.0	1.0	0.0	0.0
8430.0	1.0	1.0	0.0	0.0
8431.0	1.0	1.0	0.0	0.0
8432.0	1.0	1.0	0.0	0.0
8433.0	1.0	1.0	0.0	0.0
8434.0	1.0	1.0	0.0	0.0
8435.0	1.0	1.0	0.0	0.0
8436.0	1.0	1.0	0.0	0.0
8437.0	1.0	1.0	0.0	0.0
8438.0	1.0	1.0	0.0	0.0
8439.0	1.0	1.0	0.0	0.00069
8440.0	1.0	1.0	0.0	0.0
8441.0	1.0	1.0	0.0	0.00019
8442.0	1.0	1.0	0.0	0.00073
8443.0	1.0	1.0	0.0	0.00044
8444.0	1.0	1.0	0.0	0.00154
8445.0	1.0	1.0	0.0	0.00082
8446.0	1.0	1.0	0.0	0.00173
8447.0	1.0	1.0	0.0	2e-05
8448.0	1.0	1.0	0.0	0.00051
