Site,SubCatch,Category,clusters
1,1,D,2
1,3,D,0
1,4,D,2
1,5,P,0
1,6,D,0
1,7,D,0
1,8,D,0
1,9,D,3
1,10,D,2
1,11,D,0
1,12,P,2
1,13,D,0
1,14,D,2
2,2,D,0
2,3,D,2
2,4,G,2
3,2,D,0
3,3,D,2
3,4,D,2
5,1,D,0
5,3,G,2
5,4,P,0
5,5,G,2
5,6,P,0
5,7,P,2
5,8,G,2
5,10,D,0
5,12,P,0
5,13,D,0
5,14,P,0
5,15,D,0
5,16,D,0
5,17,P,2
6,4,P,2
6,5,D,0
6,6,D,0
6,7,D,2
6,8,D,2
6,9,D,0
6,12,P,3
6,13,P,0
6,14,D,2
7,3,D,2
7,5,D,2
7,6,D,0
7,7,D,0
7,8,G,2
7,9,D,0
7,10,P,2
8,1,P,2
8,2,G,2
8,3,D,2
8,4,D,0
8,5,D,0
8,6,P,0
9,2,G,0
9,3,P,3
9,5,P,0
9,6,G,0
9,7,P,2
9,9,G,0
9,10,G,2
9,11,G,2
9,13,P,3
9,14,P,2
9,15,G,2
9,16,P,2
9,19,P,2
9,20,P,2
9,22,P,0
9,23,G,0
9,25,P,2
9,26,P,0
9,27,P,2
9,30,D,0
11,2,P,0
11,3,D,0
11,5,P,2
11,6,D,2
11,9,P,2
11,10,D,2
16,1,D,3
16,4,D,0
16,5,D,2
16,6,D,2
16,7,P,0
16,8,D,2
16,9,P,2
16,10,D,2
16,11,D,0
16,12,P,2
16,13,D,0
16,14,D,2
16,17,P,2
16,18,P,2
16,19,D,0
16,20,D,2
16,24,P,2
19,2,D,2
20,1,P,0
20,2,P,2
20,3,P,0
20,5,P,2
20,6,P,0
20,7,P,0
20,8,G,2
20,9,G,2
20,10,P,0
20,11,P,0
21,3,D,3
21,4,D,2
21,5,D,0
21,6,D,2
21,7,D,2
21,8,D,2
21,10,D,0
21,11,D,0
22,2,D,2
22,4,P,0
22,5,G,2
22,6,D,2
22,7,D,0
22,8,P,0
22,9,P,0
22,10,D,2
22,11,D,2
22,12,P,2
22,13,D,0
22,14,D,0
25,1,G,2
25,2,G,2
25,3,P,0
25,4,P,2
25,5,P,0
25,6,P,2
25,7,P,2
25,8,P,2
25,9,P,2
25,10,P,2
25,11,P,2
25,12,P,2
25,13,P,2
25,14,P,2
25,15,P,3
25,16,P,2
25,17,P,2
25,18,P,0
25,19,P,0
25,20,P,3
27,2,P,2
27,3,P,2
27,4,D,0
27,5,D,0
27,6,D,0
27,7,D,3
27,9,P,2
27,10,D,3
27,12,D,0
27,13,P,0
28,3,G,0
28,4,P,2
28,7,P,0
29,2,P,0
29,4,D,0
29,5,G,0
29,6,P,2
29,7,P,0
29,8,P,2
29,9,P,0
29,10,P,2
29,13,P,0
33,2,D,2
33,4,D,0
33,5,P,2
33,6,P,0
33,7,P,0
33,8,D,3
33,9,D,3
34,1,P,0
34,2,G,2
34,3,P,0
34,4,G,2
34,5,P,0
34,6,P,2
34,7,P,0
34,8,G,0
34,9,P,0
34,10,P,2
34,11,P,2
34,12,P,3
34,13,P,0
34,14,P,0
35,2,P,0
35,4,G,2
35,5,P,0
35,6,G,2
35,7,P,0
35,8,G,2
35,9,P,2
35,11,G,2
35,12,P,2
35,13,P,0
37,2,P,0
37,3,P,0
37,4,G,2
37,5,P,0
37,6,P,2
37,7,P,3
37,8,P,2
37,9,P,0
37,12,P,2
38,2,P,0
38,3,P,3
38,5,G,0
38,6,G,0
38,7,P,0
38,8,G,0
38,9,P,2
39,3,G,0
39,4,G,2
39,5,P,3
39,7,G,2
39,8,P,3
39,9,P,0
